TrialNumber	stim0	stim1	stim2	stim3	stim.probe	ttl.stims	corr.num	trial.type	stim.corr	block	match	Subject	stim.pos0	stim.pos1	stim.pos2	stim.pos3	ran	resp	RT
1	M	A	A	M	A	8	7	shapes	M	Practice	False	9	(2.3357192888667804, -7.9777021980747147)	(6.8058748611994222, -1.4432479075190754)	(-0.48152278558229433, 5.9690196824821875)	(4.013879998718993, 2.1849615091721617)	1.0	slash	1.30411
2	M	B	N	A	N	8	2	shapes	N	Practice	True	9	(5.2520664095460639, 8.1624164239430534)	(5.6209880941266999, 2.890337754900127)	(-8.3368629517180395, -4.3777535035643567)	(-6.1988456099478562, -0.59185548309511304)	1.0	z	1.47964
3	M	A	N	B	A	8	2	shapes	N	Practice	False	9	(-4.0798946856763232, 0.9605325110886529)	(3.7374833007779582, 1.8756476617300386)	(-6.4477866406402802, -4.4478547818035183)	(8.1998592008803435, -4.9808942840778041)	1.0	z	1.01331
4	N	B	A	M	B	4	1	shapes	B	Practice	True	9	(-3.6357331328133391, 8.083018760885988)	(4.1105273647565532, -5.6405026809068533)	(7.6086763671784219, 4.6375924450217596)	(-0.56841792195760554, -2.0497557318976032)	1.0	z	0.812993
5	N	A	N	B	M	4	1	shapes	A	Practice	False	9	(-0.70553720315421664, -0.9834172350290018)	(5.7458542770099346, 5.2279679525218725)	(3.6262007324079928, -0.47162293648202969)	(-7.4646902870375298, 7.3229652120268938)	1.0	slash	0.91686
6	N	A	N	A	A	8	1	shapes	A	Practice	True	9	(-4.3650022858584521, -2.9038150243651701)	(8.1521298638967536, -3.2595811576667391)	(7.5442892809494424, 2.2186177547052406)	(4.7297813486347309, 6.0498895234174732)	1.0	z	0.850255
7	N	B	M	B	N	4	0	shapes	N	Practice	True	9	(4.3492147204270122, 1.7303083283949281)	(2.0139942112627214, -6.6301172618040036)	(-5.3122982750509262, -1.7840044511323949)	(-4.9845894088245242, 2.8011733640210466)	1.0	z	0.881968
8	M	B	M	A	A	4	2	shapes	M	Practice	False	9	(7.3869752595439557, 0.69688283657158578)	(8.1344601386267037, -3.8922185959434588)	(-5.3285392817770161, 6.8719409627212649)	(-6.8239459597981877, -0.71706439075138029)	1.0	slash	0.763592
1	N	B	M	B	A	4	0	shapes	N	0	False	9	(2.0380641860999518, 0.53275054715643577)	(-8.2510201065307776, -7.7973050269381758)	(-0.77880599270994466, 7.7796388688041063)	(3.4004768515364798, -8.1051059892214354)	1.0	slash	1.24271
2	N	B	B	N	B	8	1	shapes	B	0	True	9	(-2.1569959368107918, -3.9175625914284131)	(-5.7031630750326929, -1.9831094481963607)	(7.7831889306405309, -7.0656766935251127)	(1.6005069865957431, 8.3462638473995021)	1.0	z	1.45444
3	N	B	N	N	N	4	0	shapes	N	0	True	9	(-3.2042155249901425, 1.876412947292815)	(6.3560669832262064, 2.7373753668041108)	(-5.9949572493445356, -7.0863770834349769)	(3.6449128363065988, -7.9008705920882472)	1.0	z	0.806227
4	M	B	A	M	B	4	1	shapes	B	0	True	9	(7.3933366904433448, 0.12289518808196753)	(-5.2710085051039144, -3.8180939476436482)	(-7.6335966667226263, 5.1531304189375948)	(0.53498912418205968, -7.1386680108465255)	1.0	z	0.687529
5	N	A	A	B	N	4	0	shapes	N	0	True	9	(6.5349516872142281, 1.4240697756737184)	(5.3617913350254582, -6.2345897167007696)	(-5.154885099551576, 8.5212005362572789)	(-4.9644664734754276, -7.3522140179867019)	1.0	z	0.73535
6	M	B	M	A	B	8	2	shapes	M	0	False	9	(-4.7634622155366628, -7.4388852465687254)	(2.4413442197248205, -7.1138614831356124)	(5.1743177542092518, -0.79807716818977603)	(-1.3501534019956436, 8.527504833717245)	1.0	slash	1.05701
7	N	A	A	A	B	4	0	shapes	N	0	False	9	(-0.046872075565243421, -6.1891259414293902)	(-7.773983781761852, 1.9448521365553155)	(1.0064080143735943, 6.1316117064722633)	(6.4970783769295348, -2.6384711922578008)	1.0	slash	0.582599
8	N	A	B	B	N	8	5	shapes	M	0	False	9	(-4.9201618233444391, 8.6821861084715621)	(6.6220770381950071, -5.1311124398182946)	(-5.2515048845948353, -4.1758307954465428)	(6.944170387691937, 3.2329752312283038)	1.0	slash	1.16629
9	M	B	B	A	M	4	0	shapes	M	0	True	9	(3.291077037989762, -4.2612574299617902)	(-1.3072420070995525, 3.3828490353401346)	(-0.049129366894387516, -1.6498754157176734)	(6.169407740609536, 5.5204158312680782)	1.0	z	0.74386
10	N	A	A	M	B	8	3	shapes	M	0	False	9	(3.0188143019267937, -0.22481950681686058)	(-6.2083382652415651, -1.5394813262773859)	(-5.9171872589168428, -6.9942972417200444)	(-4.5861862505369446, 7.7136530005082271)	1.0	slash	0.751557
11	M	B	B	B	B	8	4	shapes	M	0	False	9	(6.7528231656241573, 7.4303171407790494)	(-3.2985459124214582, 6.1256260106395661)	(2.9136249865675552, -7.6408993184759924)	(-7.4257212068851768, 2.9789443738100836)	1.0	slash	0.94876
12	N	A	M	B	A	4	1	shapes	A	0	True	9	(4.9797958873056043, 5.3273619582868221)	(-1.1809237775233576, -7.9085282286596295)	(-6.4886578258676018, 1.3088147016238629)	(7.1056942662560907, -0.10575856211251278)	1.0	z	0.664811
13	M	B	M	M	N	4	3	shapes	M	0	False	9	(-4.3976418430187367, -4.8944973895362303)	(7.6472768527116273, 1.2799502644485639)	(-0.56944152434276241, 4.9426165960416846)	(0.28699246063095885, -0.82550780883364538)	1.0	slash	0.630625
14	N	A	A	A	A	4	0	shapes	N	0	False	9	(-6.9935737704588332, 4.5112350077582661)	(3.5742406731935521, -3.5788034315488364)	(-0.6567697142435005, -0.97702159300987734)	(4.0389856424542128, 2.5336157467081044)	1.0	slash	0.634077
15	N	A	B	N	M	4	2	shapes	B	0	False	9	(-6.5186106430208666, -1.5059909946595527)	(-0.41964545013273735, 0.092263713458770269)	(5.8988220165767444, 4.9250544430037042)	(7.5857070181393773, -7.0069610427641411)	1.0	slash	0.685886
16	M	B	M	B	M	8	1	shapes	B	0	False	9	(6.910524947375114, 0.86867214946719784)	(0.16111863054385722, 1.4249749814910491)	(-5.3156648119381709, -6.0342248625489185)	(-5.9596890774716798, 4.9735479069493795)	1.0	slash	0.633769
17	N	B	A	M	M	8	3	shapes	M	0	True	9	(6.1385328436401512, -5.9073522349633549)	(-5.6442815290735311, -6.0092244369673757)	(-0.30286156602935854, 4.4790231841304973)	(8.6920872375217471, -2.7498981850315642)	1.0	slash	0.943105
18	M	B	B	B	M	8	7	shapes	N	0	False	9	(-2.4563404868543897, 1.7992817965112096)	(-7.3260294504572601, -1.8457681372947352)	(3.1610323136624192, 2.8805808185377444)	(6.7927772145310925, -3.9156997814051291)	1.0	z	0.942888
19	M	B	A	A	N	8	5	shapes	N	0	True	9	(0.25753819902096531, 7.212884783143263)	(-3.8808791681874162, 2.0995579656688168)	(6.8253199371862454, -3.7695532150611708)	(1.1741640291682707, -7.0225330918222459)	1.0	slash	0.982535
20	M	A	M	N	A	4	2	shapes	M	0	False	9	(-1.7815137709747892, 8.7498004729213861)	(6.4201559325981883, 2.9770869689034889)	(1.6420241000286513, -4.1401525700289747)	(-2.0578852194348238, -1.8670898325320886)	1.0	slash	0.668306
